#instante   states     time1      f1         time2      f2
5 X 5    25      0.233      0.112      0.041      0.111     13.802      0.111
7 X 5    35      0.352      0.112      0.054      0.111     28.521      0.111
9 X 5    45      0.794      0.112      0.204      0.111     45.057      0.111
11 X 5    55      0.681      0.112      0.197      0.111    114.778      0.111
13 X 5    65      0.799      0.112      0.247      0.111    181.190      0.111
15 X 5    75      1.116      0.112      0.320      0.111     61.541      0.111
17 X 5    85      1.245      0.112      0.372      0.111     61.719      0.111
19 X 5    95      1.408      0.112      0.460      0.111    182.060      0.111
21 X 5   105      1.609      0.112      0.517      0.111    182.536      0.111
