Academic license - for non-commercial use only
#states     factor     time-vi    time-2lp  
        25       0.81    0.02696    0.00291
        25       0.82    0.02787    0.01605
        25       0.83    0.02710    0.00299
        25       0.84    0.02839    0.00305
        25       0.85    0.02698    0.00293
        25       0.86    0.02707    0.00292
        25       0.87    0.02957    0.00305
        25       0.88    0.02787    0.00307
        25       0.89    0.02740    0.00310
        25       0.90    0.02756    0.00302
        25       0.91    0.02769    0.00294
        25       0.92    0.02756    0.00303
        25       0.93    0.02784    0.00295
        25       0.94    0.02801    0.00298
        25       0.95    0.02776    0.00302
        25       0.96    0.02746    0.00294
        25       0.97    0.02795    0.00305
        25       0.98    0.02764    0.00301
        25       0.99    0.02789    0.00294
        25       1.00    0.02778    0.00317
        75      -0.99    0.78246    0.00929
        75      -0.98    0.79036    0.00943
        75      -0.97    0.79766    0.00924
        75      -0.96    0.80385    0.00924
        75      -0.95    0.82610    0.00935
        75      -0.94    0.84493    0.00928
        75      -0.93    0.83631    0.00926
        75      -0.92    0.84092    0.00975
        75      -0.91    0.82628    0.00962
        75      -0.90    0.83644    0.00933
        75      -0.89    0.86110    0.00928
        75      -0.88    0.85223    0.00928
        75      -0.87    0.86951    0.00924
        75      -0.86    0.90851    0.00931
        75      -0.85    0.86581    0.00929
        75      -0.84    0.87675    0.00926
        75      -0.83    0.92792    0.00928
        75      -0.82    0.89839    0.00923
        75      -0.81    0.91714    0.00981
        75      -0.80    0.89602    0.00921
        75      -0.79    0.91704    0.00939
        75      -0.78    0.97216    0.00933
        75      -0.77    0.94792    0.00932
        75      -0.76    0.97071    0.00947
        75      -0.75    1.01043    0.01253
        75      -0.74    0.96163    0.00961
        75      -0.73    0.99865    0.00933
        75      -0.72    0.98206    0.00930
        75      -0.71    1.00532    0.00925
        75      -0.70    1.09096    0.00951
        75      -0.69    0.99213    0.00928
        75      -0.68    1.04957    0.00978
        75      -0.67    1.02691    0.00937
        75      -0.66    1.08734    0.00926
        75      -0.65    1.05848    0.00917
        75      -0.64    1.14664    0.00934
        75      -0.63    1.13300    0.00922
        75      -0.62    1.09723    0.01317
