Academic license - for non-commercial use only
#states     factor     time      
        35     0.1800     0.0048
        35     0.1900     0.0045
        35     0.2000     0.0077
        35     0.2100     0.0046
        35     0.2200     0.0046
        35     0.2300     0.0051
        35     0.2400     0.0049
        35     0.2500     0.0048
        35     0.2600     0.0046
        35     0.2700     0.0043
        35     0.2800     0.0047
        35     0.2900     0.0052
        35     0.3000     0.0061
        35     0.3100     0.0045
        35     0.3200     0.0049
        35     0.3300     0.0046
        35     0.3400     0.0048
        35     0.3500     0.0049
        35     0.3600     0.0047
        35     0.3700     0.0051
        35     0.3800     0.0046
        35     0.3900     0.0047
        35     0.4000     0.0049
        35     0.4100     0.0043
        35     0.4200     0.0043
        35     0.4300     0.0044
        35     0.4400     0.0055
        35     0.4500     0.0047
        35     0.4600     0.0044
        35     0.4700     0.0044
        35     0.4800     0.0043
        35     0.4900     0.0049
        35     0.5000     0.0047
        35     0.5100     0.0045
        35     0.5200     0.0043
        35     0.5300     0.0046
        35     0.5400     0.0043
        35     0.5500     0.0048
        35     0.5600     0.0067
        35     0.5700     0.0061
        35     0.5800     0.0053
        35     0.5900     0.0043
        35     0.6000     0.0043
        35     0.6100     0.0043
        35     0.6200     0.0055
        35     0.6300     0.0045
        35     0.6400     0.0043
        35     0.6500     0.0068
        35     0.6600     0.0049
        35     0.6700     0.0049
        35     0.6800     0.0047
        35     0.6900     0.0063
        35     0.7000     0.0044
        35     0.7100     0.0066
        35     0.7200     0.0054
        35     0.7300     0.0071
        35     0.7400     0.0085
        35     0.7500     0.0070
        35     0.7600     0.0044
        35     0.7700     0.0051
        35     0.7800     0.0045
        35     0.7900     0.0055
        35     0.8000     0.0054
        35     0.8100     0.0049
        35     0.8200     0.0045
        35     0.8300     0.0060
        35     0.8400     0.0049
        35     0.8500     0.0064
        35     0.8600     0.0074
        35     0.8700     0.0069
        35     0.8800     0.0079
        35     0.8900     0.0072
        35     0.9000     0.0043
        35     0.9100     0.0062
        35     0.9200     0.0056
        35     0.9300     0.0045
        35     0.9400     0.0057
        35     0.9500     0.0049
        35     0.9600     0.0045
        35     0.9700     0.0066
        35     0.9800     0.0055
        35     0.9900     0.0050
        35     1.0000     0.0064
        40    -0.9900     0.0052
        40    -0.9800     0.0056
        40    -0.9700     0.0056
        40    -0.9600     0.0059
        40    -0.9500     0.0065
        40    -0.9400     0.0052
        40    -0.9300     0.0054
        40    -0.9200     0.0102
        40    -0.9100     0.0070
        40    -0.9000     0.0080
        40    -0.8900     0.0063
        40    -0.8800     0.0061
        40    -0.8700     0.0065
        40    -0.8600     0.0057
        40    -0.8500     0.0067
        40    -0.8400     0.0061
        40    -0.8300     0.0055
        40    -0.8200     0.0050
        40    -0.8100     0.0049
        40    -0.8000     0.0052
        40    -0.7900     0.0050
        40    -0.7800     0.0063
        40    -0.7700     0.0052
        40    -0.7600     0.0056
        40    -0.7500     0.0054
        40    -0.7400     0.0058
        40    -0.7300     0.0075
        40    -0.7200     0.0062
        40    -0.7100     0.0060
        40    -0.7000     0.0063
        40    -0.6900     0.0063
        40    -0.6800     0.0068
        40    -0.6700     0.0065
        40    -0.6600     0.0063
        40    -0.6500     0.0058
        40    -0.6400     0.0064
        40    -0.6300     0.0060
        40    -0.6200     0.0069
        40    -0.6100     0.0057
        40    -0.6000     0.0061
        40    -0.5900     0.0063
        40    -0.5800     0.0055
        40    -0.5700     0.0053
        40    -0.5600     0.0059
        40    -0.5500     0.0057
        40    -0.5400     0.0051
        40    -0.5300     0.0057
        40    -0.5200     0.0053
        40    -0.5100     0.0066
        40    -0.5000     0.0053
        40    -0.4900     0.0083
        40    -0.4800     0.0075
        40    -0.4700     0.0063
        40    -0.4600     0.0080
        40    -0.4500     0.0088
        40    -0.4400     0.0073
        40    -0.4300     0.0057
        40    -0.4200     0.0068
        40    -0.4100     0.0054
        40    -0.4000     0.0052
        40    -0.3900     0.0051
        40    -0.3800     0.0055
        40    -0.3700     0.0050
        40    -0.3600     0.0056
        40    -0.3500     0.0055
        40    -0.3400     0.0051
        40    -0.3300     0.0053
        40    -0.3200     0.0053
        40    -0.3100     0.0050
        40    -0.3000     0.0058
        40    -0.2900     0.0052
        40    -0.2800     0.0058
        40    -0.2700     0.0053
        40    -0.2600     0.0063
        40    -0.2500     0.0070
        40    -0.2400     0.0060
        40    -0.2300     0.0055
        40    -0.2200     0.0056
        40    -0.2100     0.0085
        40    -0.2000     0.0068
        40    -0.1900     0.0062
        40    -0.1800     0.0060
        40    -0.1700     0.0052
        40    -0.1600     0.0052
        40    -0.1500     0.0078
        40    -0.1400     0.0083
        40    -0.1300     0.0052
        40    -0.1200     0.0052
        40    -0.1100     0.0052
        40    -0.1000     0.0073
        40    -0.0900     0.0070
        40    -0.0800     0.0075
        40    -0.0700     0.0067
        40    -0.0600     0.0057
        40    -0.0500     0.0088
        40    -0.0400     0.0064
        40    -0.0300     0.0080
        40    -0.0200     0.0064
        40    -0.0100     0.0074
        40     0.0000     0.0061
        40     0.0100     0.0078
        40     0.0200     0.0058
        40     0.0300     0.0053
        40     0.0400     0.0058
        40     0.0500     0.0061
        40     0.0600     0.0059
        40     0.0700     0.0057
        40     0.0800     0.0063
        40     0.0900     0.0091
        40     0.1000     0.0072
        40     0.1100     0.0077
        40     0.1200     0.0085
        40     0.1300     0.0050
        40     0.1400     0.0066
        40     0.1500     0.0073
        40     0.1600     0.0059
        40     0.1700     0.0073
        40     0.1800     0.0071
        40     0.1900     0.0082
        40     0.2000     0.0072
        40     0.2100     0.0088
        40     0.2200     0.0062
        40     0.2300     0.0073
        40     0.2400     0.0074
        40     0.2500     0.0077
        40     0.2600     0.0051
        40     0.2700     0.0055
        40     0.2800     0.0068
        40     0.2900     0.0063
        40     0.3000     0.0067
        40     0.3100     0.0077
        40     0.3200     0.0051
        40     0.3300     0.0061
        40     0.3400     0.0061
        40     0.3500     0.0071
        40     0.3600     0.0066
        40     0.3700     0.0074
        40     0.3800     0.0065
        40     0.3900     0.0064
        40     0.4000     0.0067
        40     0.4100     0.0101
        40     0.4200     0.0085
        40     0.4300     0.0050
        40     0.4400     0.0053
        40     0.4500     0.0051
        40     0.4600     0.0067
        40     0.4700     0.0066
        40     0.4800     0.0074
        40     0.4900     0.0079
        40     0.5000     0.0084
        40     0.5100     0.0064
        40     0.5200     0.0061
        40     0.5300     0.0084
        40     0.5400     0.0072
        40     0.5500     0.0075
        40     0.5600     0.0054
        40     0.5700     0.0080
        40     0.5800     0.0057
        40     0.5900     0.0070
        40     0.6000     0.0057
        40     0.6100     0.0086
        40     0.6200     0.0081
        40     0.6300     0.0067
        40     0.6400     0.0058
        40     0.6500     0.0083
        40     0.6600     0.0068
        40     0.6700     0.0075
        40     0.6800     0.0055
        40     0.6900     0.0065
        40     0.7000     0.0062
        40     0.7100     0.0073
        40     0.7200     0.0061
        40     0.7300     0.0074
        40     0.7400     0.0070
        40     0.7500     0.0094
        40     0.7600     0.0090
        40     0.7700     0.0070
        40     0.7800     0.0100
        40     0.7900     0.0065
        40     0.8000     0.0083
        40     0.8100     0.0066
        40     0.8200     0.0070
        40     0.8300     0.0057
        40     0.8400     0.0064
        40     0.8500     0.0073
        40     0.8600     0.0053
        40     0.8700     0.0056
        40     0.8800     0.0073
        40     0.8900     0.0073
        40     0.9000     0.0070
        40     0.9100     0.0070
        40     0.9200     0.0098
        40     0.9300     0.0091
        40     0.9400     0.0060
        40     0.9500     0.0084
        40     0.9600     0.0068
        40     0.9700     0.0056
        40     0.9800     0.0080
        40     0.9900     0.0052
        40     1.0000     0.0064
        45    -0.9900     0.0073
        45    -0.9800     0.0080
        45    -0.9700     0.0070
        45    -0.9600     0.0069
        45    -0.9500     0.0064
        45    -0.9400     0.0068
        45    -0.9300     0.0070
        45    -0.9200     0.0066
        45    -0.9100     0.0083
        45    -0.9000     0.0066
        45    -0.8900     0.0060
        45    -0.8800     0.0063
        45    -0.8700     0.0059
        45    -0.8600     0.0063
        45    -0.8500     0.0069
        45    -0.8400     0.0074
        45    -0.8300     0.0057
        45    -0.8200     0.0056
        45    -0.8100     0.0062
        45    -0.8000     0.0058
        45    -0.7900     0.0065
        45    -0.7800     0.0062
        45    -0.7700     0.0056
        45    -0.7600     0.0063
        45    -0.7500     0.0058
        45    -0.7400     0.0058
        45    -0.7300     0.0060
        45    -0.7200     0.0067
        45    -0.7100     0.0072
        45    -0.7000     0.0074
        45    -0.6900     0.0088
        45    -0.6800     0.0078
        45    -0.6700     0.0087
        45    -0.6600     0.0075
        45    -0.6500     0.0070
        45    -0.6400     0.0077
        45    -0.6300     0.0060
        45    -0.6200     0.0059
        45    -0.6100     0.0066
        45    -0.6000     0.0067
        45    -0.5900     0.0068
        45    -0.5800     0.0057
        45    -0.5700     0.0058
        45    -0.5600     0.0058
        45    -0.5500     0.0057
        45    -0.5400     0.0064
        45    -0.5300     0.0061
        45    -0.5200     0.0057
        45    -0.5100     0.0067
        45    -0.5000     0.0065
        45    -0.4900     0.0065
        45    -0.4800     0.0057
        45    -0.4700     0.0061
        45    -0.4600     0.0058
        45    -0.4500     0.0057
        45    -0.4400     0.0057
        45    -0.4300     0.0058
        45    -0.4200     0.0057
        45    -0.4100     0.0057
        45    -0.4000     0.0064
        45    -0.3900     0.0059
        45    -0.3800     0.0066
        45    -0.3700     0.0057
        45    -0.3600     0.0062
        45    -0.3500     0.0064
        45    -0.3400     0.0058
        45    -0.3300     0.0058
        45    -0.3200     0.0059
        45    -0.3100     0.0059
        45    -0.3000     0.0067
        45    -0.2900     0.0066
        45    -0.2800     0.0066
        45    -0.2700     0.0066
        45    -0.2600     0.0090
        45    -0.2500     0.0063
        45    -0.2400     0.0058
        45    -0.2300     0.0059
        45    -0.2200     0.0067
        45    -0.2100     0.0062
        45    -0.2000     0.0061
        45    -0.1900     0.0068
        45    -0.1800     0.0059
        45    -0.1700     0.0058
        45    -0.1600     0.0057
        45    -0.1500     0.0059
        45    -0.1400     0.0064
        45    -0.1300     0.0066
        45    -0.1200     0.0071
        45    -0.1100     0.0066
        45    -0.1000     0.0066
        45    -0.0900     0.0084
        45    -0.0800     0.0064
        45    -0.0700     0.0066
        45    -0.0600     0.0087
        45    -0.0500     0.0060
        45    -0.0400     0.0058
        45    -0.0300     0.0061
        45    -0.0200     0.0060
        45    -0.0100     0.0057
        45     0.0000     0.0055
        45     0.0100     0.0056
        45     0.0200     0.0056
        45     0.0300     0.0061
        45     0.0400     0.0064
        45     0.0500     0.0059
        45     0.0600     0.0060
        45     0.0700     0.0056
        45     0.0800     0.0060
        45     0.0900     0.0058
        45     0.1000     0.0057
        45     0.1100     0.0056
        45     0.1200     0.0057
        45     0.1300     0.0059
        45     0.1400     0.0072
        45     0.1500     0.0061
        45     0.1600     0.0071
        45     0.1700     0.0082
        45     0.1800     0.0071
        45     0.1900     0.0060
        45     0.2000     0.0063
        45     0.2100     0.0070
        45     0.2200     0.0093
        45     0.2300     0.0090
        45     0.2400     0.0080
        45     0.2500     0.0101
        45     0.2600     0.0078
        45     0.2700     0.0066
        45     0.2800     0.0060
        45     0.2900     0.0056
        45     0.3000     0.0057
        45     0.3100     0.0056
        45     0.3200     0.0059
        45     0.3300     0.0057
        45     0.3400     0.0077
        45     0.3500     0.0056
        45     0.3600     0.0066
        45     0.3700     0.0058
        45     0.3800     0.0074
        45     0.3900     0.0057
        45     0.4000     0.0056
        45     0.4100     0.0063
        45     0.4200     0.0066
        45     0.4300     0.0073
        45     0.4400     0.0061
        45     0.4500     0.0064
        45     0.4600     0.0058
        45     0.4700     0.0065
        45     0.4800     0.0056
        45     0.4900     0.0054
        45     0.5000     0.0055
        45     0.5100     0.0058
        45     0.5200     0.0055
        45     0.5300     0.0065
        45     0.5400     0.0063
        45     0.5500     0.0068
        45     0.5600     0.0068
        45     0.5700     0.0067
        45     0.5800     0.0087
        45     0.5900     0.0064
        45     0.6000     0.0066
        45     0.6100     0.0075
        45     0.6200     0.0079
        45     0.6300     0.0074
        45     0.6400     0.0067
        45     0.6500     0.0092
        45     0.6600     0.0093
        45     0.6700     0.0080
        45     0.6800     0.0076
        45     0.6900     0.0080
        45     0.7000     0.0085
        45     0.7100     0.0088
        45     0.7200     0.0078
        45     0.7300     0.0099
        45     0.7400     0.0090
        45     0.7500     0.0066
        45     0.7600     0.0073
        45     0.7700     0.0077
        45     0.7800     0.0094
        45     0.7900     0.0088
        45     0.8000     0.0084
        45     0.8100     0.0075
